id,Ans
1,3
2,0
3,0
4,0
5,0
6,0
7,4
8,4
9,4
10,2
11,0
12,1
13,4
14,1
15,2
16,1
17,0
18,2
19,4
20,2
21,1
22,3
23,0
24,1
25,0
26,0
27,4
28,1
29,4
30,2
31,2
32,4
33,0
34,4
35,0
36,0
37,4
38,0
39,4
40,2
41,1
42,4
43,4
44,4
45,0
46,2
47,1
48,3
49,3
50,0
51,3
52,0
53,3
54,2
55,1
56,2
57,0
58,3
59,4
60,2
61,1
62,3
63,2
64,1
65,0
66,3
67,1
68,4
69,0
70,0
71,2
72,2
73,3
74,4
75,4
76,2
77,0
78,0
79,0
80,0
81,4
82,4
83,2
84,1
85,2
86,1
87,4
88,0
89,3
90,3
91,0
92,2
93,0
94,0
95,1
96,0
97,1
98,4
99,2
100,0
101,4
102,1
103,2
104,2
105,2
106,0
107,4
108,4
109,3
110,0
111,2
112,4
113,0
114,3
115,1
116,1
117,1
118,4
119,3
120,2
121,0
122,4
123,2
124,4
125,3
126,4
127,4
128,1
129,2
130,1
131,4
132,4
133,1
134,2
135,2
136,4
137,3
138,2
139,3
140,0
141,2
142,2
143,4
144,3
145,0
146,3
147,1
148,3
149,3
150,4
151,0
152,0
153,4
154,0
155,1
156,0
157,4
158,1
159,4
160,3
161,3
162,1
163,3
164,2
165,0
166,1
167,1
168,2
169,1
170,0
171,3
172,2
173,4
174,0
175,1
176,0
177,3
178,2
179,2
180,2
181,2
182,4
183,0
184,3
185,4
186,3
187,0
188,0
189,1
190,3
191,3
192,1
193,0
194,2
195,2
196,3
197,1
198,0
199,1
200,2
201,3
202,1
203,4
204,4
205,1
206,0
207,3
208,2
209,3
210,0
211,4
212,3
213,0
214,3
215,3
216,0
217,2
218,2
219,0
220,3
221,3
222,4
223,4
224,0
225,0
226,4
227,3
228,0
229,2
230,4
231,0
232,0
233,0
234,3
235,4
236,0
237,2
238,1
239,4
240,2
241,4
242,4
243,4
244,2
245,2
246,3
247,4
248,3
249,0
250,4
251,2
252,0
253,3
254,3
255,1
256,4
257,0
258,1
259,3
260,0
261,0
262,2
263,3
264,3
265,0
266,2
267,3
268,0
269,1
270,2
271,3
272,2
273,4
274,3
275,3
276,1
277,4
278,1
279,3
280,4
281,1
282,4
283,4
284,3
285,1
286,4
287,1
288,0
289,1
290,4
291,1
292,3
293,1
294,3
295,2
296,4
297,0
298,1
299,1
300,2
301,1
302,3
303,1
304,2
305,4
306,4
307,0
308,0
309,2
310,4
311,2
312,4
313,2
314,1
315,1
316,4
317,3
318,1
319,1
320,2
321,0
322,2
323,4
324,0
325,0
326,0
327,1
328,2
329,1
330,2
331,3
332,4
333,0
334,2
335,0
336,1
337,4
338,1
339,3
340,1
341,3
342,1
343,2
344,4
345,1
346,2
347,0
348,2
349,4
350,1
351,4
352,0
353,1
354,0
355,2
356,4
357,0
358,0
359,0
360,1
361,3
362,1
363,3
364,1
365,1
366,0
367,3
368,3
369,4
370,0
371,4
372,2
373,4
374,0
375,0
376,2
377,3
378,4
379,3
380,0
381,4
382,2
383,2
384,0
385,4
386,0
387,3
388,4
389,2
390,0
391,2
392,0
393,1
394,2
395,4
396,4
397,3
398,4
399,4
400,2
401,3
402,1
403,1
404,1
405,2
406,0
407,4
408,4
409,3
410,4
411,2
412,3
413,3
414,3
415,0
416,1
417,3
418,3
419,4
420,4
421,4
422,3
423,1
424,2
425,3
426,2
427,3
428,3
429,2
430,3
431,0
432,3
433,1
434,4
435,2
436,3
437,1
438,0
439,1
440,0
441,0
442,0
443,2
444,3
445,4
446,0
447,0
448,0
449,0
450,4
451,4
452,3
453,1
454,2
455,0
456,3
457,3
458,0
459,4
460,2
461,1
462,2
463,2
464,2
465,0
466,1
467,4
468,4
469,0
470,0
471,4
472,4
473,1
474,2
475,0
476,0
477,2
478,3
479,1
480,3
481,1
482,0
483,2
484,3
485,4
486,3
487,0
488,3
489,3
490,1
491,2
492,0
493,0
494,3
495,2
496,0
497,0
498,0
499,2
500,1
